respondent_id,business_type,city_tier,region,years_of_operation,n_employees,annual_revenue_band,business_size,customer_facing_packaging,decision_maker,n_decision_stakeholders,supplier_approval_formality,purchase_decision_complexity,days_to_approve_supplier,owner_involvement,current_packaging_material,monthly_packaging_spend,order_frequency,monthly_order_volume,current_supplier_type,uses_plastic_packaging,usecase_takeaway,usecase_dinein,usecase_delivery,usecase_retail,usecase_ecommerce,usecase_gifting,usecase_storage,usecase_transport,pref_food_containers,pref_bowls,pref_cups,pref_carry_bags,pref_paper_mailers,pref_corrugated_boxes,pref_meal_trays,pref_protective_packaging,pref_premium_branded,req_food_safe,req_leak_proof,req_heat_resistance,req_strength_durability,req_design_branding,req_compostability,req_appearance,pain_high_cost,pain_poor_quality,pain_delayed_delivery,pain_inconsistent_quality,pain_no_eco_options,pain_poor_customization,pain_limited_reliability,pain_moq_issue,pain_lead_time,sustainability_importance,plastic_impact_awareness,customer_demand_eco,regulatory_pressure_awareness,esg_image_importance,certification_required,lab_test_required,trust_biodegradable_claims,greenwashing_concern,barrier_higher_price,barrier_quality_concern,barrier_current_relationship,barrier_lack_trusted_suppliers,barrier_supply_inconsistency,barrier_lack_awareness,barrier_customer_rejection_fear,barrier_operational_risk,cb_samples,cb_pilot_order,cb_competitive_pricing,cb_bulk_discount,cb_quality_warranty,cb_certification_proof,cb_delivery_reliability,cb_custom_branding,cb_flexible_payment,adoption_intention,likely_adopter,expected_biodegradable_budget,willingness_to_pay_premium_pct,lead_priority_score,feedback_text,referral_count,supplier_pain_score,switching_barrier_score,trust_builder_score,sustainability_mindset_score,packaging_demand_score,price_sensitivity_score,adoption_readiness_score,commercial_value_score,operational_risk_score,customer_visibility_score,product_fit_score,customer_value_segment,adoption_risk_category
ECV1010,Cloud Kitchen,Tier 2,West,1,39,2 - 10 Cr,Small,Yes,Owner,2,High,High,10.0,Always,Mixed (Plastic + Paper),37746,Bi-weekly,291,Local Wholesaler,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,4,3,3,3,3,3,4,No,No,No,No,No,No,No,Yes,No,3,5,4.0,2,5,Yes,Yes,2,1,3,3,5,3,4,2,3,1,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,4,Yes,34630,20.2,60.0,"Eco-friendly is the future, we want to be early movers in our segment.",6,1,24,6,3.8,5,3.48,47.05,87.77,8.0,7,23,Medium Value,Cold Lead
ECV1011,FMCG / Food Processing,Tier 2,South,24,4,50L - 2 Cr,Micro,No,Chef / Kitchen Manager,1,Medium,High,18.0,Always,Mixed (Plastic + Paper),37182,Weekly,742,Direct Manufacturer,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,4,4,4,4,1,2,4,Yes,Yes,No,No,Yes,No,No,No,Yes,3,4,4.0,1,2,Yes,Yes,2,3,3,4,1,3,4,4,2,4,Yes,Yes,Yes,No,Yes,Yes,No,No,No,1,No,27254,14.0,38.0,Need strong evidence of food-safety and durability before we even consider it.,3,4,25,5,2.8,3,4.1,34.23,79.67,12.0,1,20,Medium Value,Cold Lead
ECV1012,Retail Store,Tier 1,South,1,76,> 50 Cr,Medium,No,Operations Manager,3,Low,Medium,12.0,Rarely,Paper / Cardboard,47501,Monthly,200,Local Wholesaler,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,4,3,3,5,2,3,3,Yes,Yes,Yes,Yes,Yes,No,No,No,No,3,5,3.0,2,4,Yes,No,2,5,5,4,2,3,4,1,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,No,28114,11.8,54.0,"We are evaluating options, no immediate decision planned this quarter.",5,5,25,9,3.4,4,6.92,43.72,83.38,11.5,4,23,Medium Value,Cold Lead
ECV1013,E-commerce Seller,Tier 2,North,2,12,50L - 2 Cr,Small,Yes,Procurement Head,1,Medium,High,1.0,Rarely,Plastic,28309,Daily,2191,Online Marketplace,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,4,4,3,5,4,4,4,No,No,Yes,No,Yes,No,No,No,No,4,3,3.0,2,3,Yes,Yes,3,3,3,4,4,3,3,3,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,No,24257,20.3,53.5,Open to discussion but cost-benefit needs to make sense for our scale.,6,2,23,9,3.0,3,3.0700000000000003,39.9,81.76,9.0,4,23,Medium Value,Cold Lead
ECV1014,Café,Tier 1,East,8,12,50L - 2 Cr,Small,Yes,Owner,1,Low,Medium,1.0,Sometimes,Paper / Cardboard,18980,Monthly,200,Direct Manufacturer,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,4,5,4,5,2,3,5,Yes,Yes,No,No,Yes,No,No,Yes,No,4,4,3.0,3,5,Yes,No,3,3,1,3,1,3,3,3,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Yes,13360,18.4,69.4,"Eco-friendly is the future, we want to be early movers in our segment.",4,4,20,9,3.8,1,0.6600000000000001,55.42,74.96,8.0,5,19,Low Value,Warm Lead
ECV1015,Cloud Kitchen,Tier 3,North,9,19,50L - 2 Cr,Small,Yes,Chef / Kitchen Manager,3,Medium,Low,19.0,Sometimes,Mixed (Plastic + Paper),28369,Weekly,327,Online Marketplace,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,4,4,4,5,5,3,3,Yes,Yes,No,No,No,No,Yes,No,No,3,3,5.0,4,2,Yes,Yes,4,3,3,4,5,3,4,5,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2,No,17395,10.9,43.0,Lead times and minimum order quantities are usually a problem with eco suppliers.,4,3,32,8,3.4,5,4.41,39.5,85.77,12.0,6,26,Medium Value,Cold Lead
ECV1016,Hotel,Tier 1,West,7,77,> 50 Cr,Medium,Yes,Committee,2,Medium,High,18.0,Sometimes,Paper / Cardboard,93457,Weekly,1600,Distributor,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,4,5,3,4,5,4,5,No,No,No,Yes,Yes,No,Yes,No,No,5,4,3.0,4,4,Yes,No,5,3,2,2,4,4,4,4,4,4,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,5,Yes,58392,19.8,81.7,Open to switching if pricing is competitive and quality is proven.,7,3,28,6,4.0,3,2.22,51.33,90.12,11.5,5,23,Medium Value,Warm Lead
ECV1017,Restaurant,Tier 1,North,2,107,> 50 Cr,Medium,Yes,Owner,2,Medium,Medium,7.0,Always,Plastic,53154,Monthly,200,Direct Manufacturer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,5,5,4,3,4,3,5,No,Yes,No,Yes,Yes,No,Yes,Yes,No,4,3,3.0,5,3,Yes,No,4,5,4,4,3,2,3,3,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4,Yes,47314,9.8,61.9,Happy to try a pilot order if samples are good and certifications check out.,5,5,26,8,3.6,2,5.42,51.46,84.17,11.5,6,20,Medium Value,Warm Lead
ECV1018,E-commerce Seller,Tier 1,Central,12,105,10 - 50 Cr,Medium,Yes,Chef / Kitchen Manager,2,Medium,High,5.0,Rarely,Plastic,124046,Daily,12125,Local Wholesaler,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,5,5,3,5,1,2,4,Yes,Yes,Yes,No,Yes,No,No,No,No,4,5,4.0,5,4,Yes,No,3,3,4,4,2,4,4,5,2,2,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,5,Yes,99001,19.3,71.9,Sustainability is a big priority for our brand image this year.,4,4,27,6,4.4,6,4.870000000000001,59.27,98.1,10.0,6,29,Medium Value,Warm Lead
ECV1019,Retail Store,Tier 1,West,5,18,10 - 50 Cr,Small,Yes,Founder / Director,3,Low,Low,24.0,Sometimes,Paper / Cardboard,35469,Monthly,200,Local Wholesaler,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,5,5,4,4,4,4,5,Yes,Yes,No,No,No,No,Yes,Yes,No,4,2,4.0,1,3,Yes,Yes,5,4,5,4,2,1,4,4,3,3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,No,28382,18.8,51.1,"Greenwashing is everywhere, hard to trust biodegradable claims without proof.",3,4,26,8,2.8,3,6.22,39.37,83.34,11.0,6,24,Medium Value,Cold Lead
ECV1020,E-commerce Seller,Tier 1,North,2,15,2 - 10 Cr,Small,Yes,Owner,1,Medium,Medium,1.0,Sometimes,Paper / Cardboard,36353,Weekly,354,Online Marketplace,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,4,5,3,4,4,3,4,No,No,No,No,Yes,Yes,No,No,No,3,3,4.0,3,4,Yes,Yes,3,4,5,5,2,4,4,4,5,1,Yes,No,Yes,Yes,No,Yes,No,No,Yes,4,Yes,24882,6.5,57.2,Sustainability is a big priority for our brand image this year.,4,2,30,5,3.4,6,7.449999999999999,39.4,89.51,10.0,8,28,Medium Value,Cold Lead
ECV1021,Cloud Kitchen,Tier 1,North,7,77,10 - 50 Cr,Medium,No,Owner,4,Medium,Low,25.0,Sometimes,Aluminium / Foil,117116,Weekly,1909,Online Marketplace,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,3,4,5,4,4,5,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3,5,3.0,2,3,No,No,3,4,2,4,3,2,3,2,4,5,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,2,No,57152,8.9,54.2,Need strong evidence of food-safety and durability before we even consider it.,4,6,25,7,3.2,4,2.91,44.41,89.7,12.0,3,24,Medium Value,Cold Lead
ECV1022,Other,Tier 1,South,6,18,2 - 10 Cr,Small,Yes,Operations Manager,2,Low,Medium,8.0,Sometimes,Mixed (Plastic + Paper),13901,Bi-weekly,200,Local Wholesaler,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,3,5,3,2,4,5,5,Yes,No,Yes,No,No,No,No,Yes,Yes,3,5,2.0,5,4,Yes,No,3,4,2,5,4,3,4,4,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,Yes,12744,14.8,50.1,"Eco-friendly is the future, we want to be early movers in our segment.",6,4,29,8,3.8,3,2.72,47.85,76.78,12.0,5,21,Medium Value,Cold Lead
ECV1023,FMCG / Food Processing,Tier 1,North,12,36,2 - 10 Cr,Small,Yes,Founder / Director,2,Low,Low,13.0,Always,Plastic,57376,Daily,4402,Direct Manufacturer,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,4,5,2,3,5,4,4,Yes,No,No,No,Yes,No,No,No,No,4,4,2.0,3,2,No,No,3,3,3,5,3,3,5,2,3,4,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,2,No,45264,12.9,51.0,Lead times and minimum order quantities are usually a problem with eco suppliers.,5,2,28,7,3.0,4,4.61,36.75,88.7,14.0,4,24,Medium Value,Cold Lead
ECV1024,E-commerce Seller,Tier 1,North,6,84,> 50 Cr,Medium,Yes,Operations Manager,3,High,Medium,21.0,Sometimes,Paper / Cardboard,77090,Bi-weekly,715,Local Wholesaler,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,4,3,3,5,2,1,4,Yes,No,No,No,Yes,No,No,No,No,5,4,4.0,2,4,No,No,4,3,4,3,4,3,5,2,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Yes,52532,12.7,82.9,"Our customers ask for sustainable packaging, so this is a serious option.",7,2,26,9,3.8,4,5.93,48.3,90.77,12.0,6,21,Medium Value,Cold Lead
ECV1025,Restaurant,Tier 1,West,6,44,10 - 50 Cr,Small,Yes,Owner,3,High,Medium,18.0,Always,Mixed (Plastic + Paper),31654,Weekly,584,Direct Manufacturer,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,5,4,4,2,3,4,5,Yes,No,No,No,Yes,No,Yes,Yes,Yes,3,4,3.0,4,4,No,Yes,1,4,5,4,2,5,4,5,1,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4,Yes,21362,19.9,57.3,"Our customers ask for sustainable packaging, so this is a serious option.",4,5,29,8,3.6,5,6.109999999999999,48.44,86.54,11.0,5,25,Medium Value,Cold Lead
ECV1026,Café,Tier 1,East,10,58,> 50 Cr,Medium,Yes,Owner,1,Low,High,5.0,Always,Mixed (Plastic + Paper),38429,Weekly,638,Online Marketplace,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,5,4,3,4,3,5,3,Yes,No,No,No,Yes,No,No,No,No,5,5,4.0,3,2,No,Yes,4,3,4,3,1,2,3,3,4,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Yes,26005,15.4,67.6,Bulk pricing and dependable delivery will be the deciding factor for us.,4,2,22,8,3.8,4,4.86,50.67,85.9,8.0,6,26,Medium Value,Warm Lead
ECV1027,Restaurant,Tier 1,North,3,35,10 - 50 Cr,Small,Yes,Operations Manager,2,Medium,Medium,19.0,Always,Mixed (Plastic + Paper),24022,Bi-weekly,200,Local Wholesaler,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,4,3,2,4,4,1,4,Yes,No,No,No,Yes,No,No,Yes,No,4,4,3.0,4,4,Yes,No,3,4,4,5,4,3,3,3,2,4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Yes,17935,20.0,55.6,"We are evaluating options, no immediate decision planned this quarter.",6,3,28,8,3.8,2,4.4,47.3,78.61,12.0,5,16,Medium Value,Cold Lead
ECV1028,Restaurant,Tier 1,East,7,98,> 50 Cr,Medium,Yes,Owner,2,Low,Medium,13.0,Always,Plastic,66631,Weekly,592,Local Wholesaler,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,5,4,3,4,3,2,3,Yes,Yes,No,Yes,No,No,Yes,No,No,4,4,5.0,3,2,No,No,3,4,3,4,2,2,4,5,4,3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,4,Yes,49609,18.5,61.7,Looking for reliable suppliers with consistent quality and good lead times.,4,4,27,6,3.6,6,3.65,48.93,93.75,12.5,5,27,Medium Value,Cold Lead
ECV1029,Retail Store,Tier 1,South,3,106,> 50 Cr,Medium,No,Procurement Head,3,High,Medium,37.0,Rarely,Plastic,48106,Weekly,503,Distributor,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,5,3,4,5,2,2,3,Yes,Yes,No,Yes,No,No,No,Yes,No,3,3,3.0,4,5,No,No,4,4,3,3,3,5,3,2,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3,No,40163,15.9,51.4,Open to discussion but cost-benefit needs to make sense for our scale.,3,4,25,8,3.6,3,3.5100000000000007,44.14,81.47,11.5,5,21,Medium Value,Cold Lead
ECV1030,Retail Store,Tier 1,Central,6,68,10 - 50 Cr,Medium,Yes,Owner,2,Low,High,1.0,Always,Plastic,49122,Weekly,981,Local Wholesaler,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,4,4,4,3,3,5,3,Yes,Yes,No,No,Yes,No,No,No,Yes,3,4,4.0,1,4,Yes,No,4,4,4,4,2,3,4,3,2,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,No,46327,14.4,47.5,Quality of eco packaging we've tried before was inconsistent and disappointing.,5,4,25,9,3.2,3,5.360000000000001,45.36,85.61,11.0,6,22,Medium Value,Cold Lead
ECV1031,Other,Tier 2,North,1,107,> 50 Cr,Medium,Yes,Chef / Kitchen Manager,3,Low,Medium,5.0,Always,Plastic,32136,Monthly,200,Local Wholesaler,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,4,4,5,3,1,5,5,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,2.0,5,2,Yes,No,2,4,4,4,3,2,2,1,1,5,Yes,Yes,Yes,Yes,Yes,No,No,No,No,1,No,18781,10.8,33.6,"Greenwashing is everywhere, hard to trust biodegradable claims without proof.",4,7,22,5,3.0,1,4.92,50.85,78.64,12.5,4,18,Medium Value,Warm Lead
ECV1032,Cloud Kitchen,Tier 3,West,3,279,> 50 Cr,Large,Yes,Chef / Kitchen Manager,6,Low,Medium,33.0,Sometimes,Mixed (Plastic + Paper),96278,Weekly,1209,Direct Manufacturer,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,5,4,4,4,3,2,4,Yes,No,No,No,No,Yes,No,No,Yes,2,4,4.0,4,5,Yes,Yes,3,3,4,5,5,5,3,4,1,4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,2,No,72968,13.6,47.2,Cost pressure is too high to absorb a price premium for green packaging.,4,3,31,7,3.8,5,5.040000000000001,46.57,94.33,12.0,5,25,Medium Value,Cold Lead
ECV1033,Cloud Kitchen,Tier 3,West,4,82,50L - 2 Cr,Medium,Yes,Founder / Director,2,Medium,Medium,11.0,Rarely,Plastic,99757,Weekly,1411,Distributor,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,4,4,4,4,3,2,4,Yes,No,Yes,No,No,No,Yes,Yes,No,3,4,4.0,4,4,Yes,No,4,4,3,2,2,4,4,4,5,2,Yes,No,Yes,No,Yes,No,Yes,No,Yes,3,No,55554,18.4,59.1,Interested but need more information on pricing and durability.,5,4,26,5,3.8,4,3.66,52.61,92.57,8.0,5,22,Medium Value,Warm Lead
ECV1034,Café,Tier 2,North,6,41,2 - 10 Cr,Small,No,Owner,1,High,Medium,12.0,Sometimes,Biodegradable (Partial),21310,Daily,1591,Multiple Small Suppliers,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,5,3,4,4,4,1,3,Yes,Yes,Yes,No,Yes,No,No,No,No,4,4,4.0,3,2,Yes,No,3,3,4,4,1,3,2,3,2,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,2,No,12086,12.2,45.6,"Greenwashing is everywhere, hard to trust biodegradable claims without proof.",0,4,23,8,3.4,4,4.78,42.36,77.77,10.0,5,21,Medium Value,Cold Lead
